mu_g,b,gamma_ratio,E_crit_ratio
0.1,0.0,1.0,0.967531209275079
0.1,2.5,14.020645107696387,0.967531209275079
0.1,5.0,10000.0,0.967531209275079
0.1,7.5,10000.0,0.967531209275079
0.1,10.0,10000.0,0.967531209275079
0.23157894736842105,0.0,1.0,0.8355597059679385
0.23157894736842105,2.5,14.020645107696387,0.8355597059679385
0.23157894736842105,5.0,10000.0,0.8355597059679385
0.23157894736842105,7.5,10000.0,0.8355597059679385
0.23157894736842105,10.0,10000.0,0.8355597059679385
0.3631578947368421,0.0,1.0,0.6348093079137276
0.3631578947368421,2.5,14.020645107696387,0.6348093079137276
0.3631578947368421,5.0,10000.0,0.6348093079137276
0.3631578947368421,7.5,10000.0,0.6348093079137276
0.3631578947368421,10.0,10000.0,0.6348093079137276
0.49473684210526314,0.0,1.0,0.41384051840393316
0.49473684210526314,2.5,14.020645107696387,0.41384051840393316
0.49473684210526314,5.0,10000.0,0.41384051840393316
0.49473684210526314,7.5,10000.0,0.41384051840393316
0.49473684210526314,10.0,10000.0,0.41384051840393316
0.6,0.0,1.0,0.2545718654155194
0.6,2.5,14.020645107696387,0.2545718654155194
0.6,5.0,10000.0,0.2545718654155194
0.6,7.5,10000.0,0.2545718654155194
0.6,10.0,10000.0,0.2545718654155194
